runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents
6.4e-05,0,2,51,208,46,46,46,46,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.000329,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,5
7.9e-05,0,1,27,109,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,4.8e-05,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-2.scen:,5
0.000116,2,6,52,207,48,48,48,48,0,1,1,0,0,0,0,0,0,0,1e-06,3e-06,0,0,0,1.1e-05,1e-06,4e-06,3.8e-05,4.3e-05,0.000118,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-2.scen:,10
0.000127,0,2,117,514,106,106,106,106,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.000851,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,10
4.1e-05,0,2,29,105,46,46,46,46,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.000303,WDG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,5
3.8e-05,0,1,27,109,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,4.4e-05,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-8-8-even-2.scen:,5
0.000101,2,6,41,163,48,48,48,48,0,1,1,0,0,0,0,0,0,0,1e-06,4e-06,1e-06,0,0,7e-06,1e-06,2e-06,3e-05,3.3e-05,9.6e-05,CG+GR+DC+T+BP with AStarand Decomp,scens/empty-8-8-even-2.scen:,10
3.5e-05,0,1,27,109,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5e-05,CG+GR+GC+T+BP with AStar,scens/empty-8-8-even-2.scen:,5
0.000293,2,4,122,523,106,106,106,106,1,0,0,0,1,0,0,2,0,0.000107,2e-06,6e-06,0,0,0,3.8e-05,3e-06,1e-06,3e-05,3.4e-05,0.000535,WDG+GR+DC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,10
0.000213,0,2,176,779,159,159,159,159,0,0,0,0,0,0,0,0,0,0,0,9e-06,0,0,0,0,0,0,0,0,0.001013,CG+GR+GC+T+BP with AStarand Decomp,scens/empty-16-16-even-9.scen:,15
