runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents,decompTime
0.02009,20,39,13663,40931,1456,1456,1447,1452,6,8,1,8,2,0,0,0,0,0.000273,0.000105,0.000302,0.000579,0.002001,0,0.003134,2.9e-05,0.000833,0.010454,0.010766,0.007499,CG+GR+GC+T+BP with AStar,scens/den312d-even-8.scen:,25,0
0.019021,3,6,2346,9144,1296,1296,1296,1296,1,1,0,1,0,0,0,0,0,0,0,0.000147,0,0,0,0,4e-06,0.000159,0.00135,0.001394,0.020515,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,20,14
0.020982,8,14,8448,25066,1322,1322,1310,1315,4,0,0,3,3,0,0,0,0,0.000104,2.5e-05,0.000237,3.8e-05,0.001579,0,0.002486,1.4e-05,0.000802,0.010979,0.011327,0.017307,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,20,12
0.016367,7,13,7596,22820,1322,1322,1310,1315,1,1,0,3,2,0,0,0,0,0.000121,3.2e-05,0.000182,0,0.0015,0,0.00236,1.2e-05,0.00062,0.008518,0.008753,0.010136,CG+GR+DC+T+BP with AStar,scens/den312d-even-4.scen:,20,0
0.025856,6,10,4349,14376,1296,1296,1293,1296,5,2,0,2,0,0,0,12,0,0.010734,9e-06,0.000109,0.00012,0.000499,0,0.000964,4e-06,0.000333,0.00286,0.002928,0.010314,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,20,9
0.012462,3,5,2346,9144,1296,1296,1293,1296,1,1,0,1,0,0,0,6,0,0.008765,1e-05,5.6e-05,0,0.000566,0,0.000577,3e-06,9.9e-05,0.000784,0.000812,0.006139,WDG+GR+GC+T+BP with AStar,scens/den312d-even-15.scen:,20,0
0.010252,6,12,3616,13057,1186,1186,1186,1186,3,1,0,2,2,0,0,0,0,0,0,0.000209,0,0,0,0,5e-06,0.00036,0.003799,0.003929,0.020836,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,20,30
0.073515,6,12,12171,31443,1621,1621,1621,1621,4,0,0,2,3,0,0,0,0,0,0,0.000435,0,0,0,0,1.4e-05,0.001241,0.0143,0.014571,0.031389,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,30,15
0.092197,8,16,10065,29454,2022,2022,2022,2022,3,1,2,2,2,0,0,1,0,0.000487,8e-06,0.000401,0,1e-06,0,0.000152,1.4e-05,0.000684,0.007967,0.008384,0.033413,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-20.scen:,35,15
0.010292,8,14,3503,12473,1186,1186,1186,1186,2,2,0,2,2,0,0,0,0,3e-06,7e-06,0.000179,6.1e-05,0,0,0.000645,9e-06,0.000411,0.00396,0.004074,0.01835,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,20,15
