runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,number of agents,decompTime,MaxCompRuntime
0.000215,0,2,206,727,226,226,226,226,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.003318,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,5,10,0.000212
0.0006,0,2,547,2308,615,615,615,615,0,0,0,0,0,0,0,0,0,0,0,1.3e-05,0,0,0,0,0,0,0,0,0.005744,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,10,8,0.000591
8.3e-05,0,2,75,226,226,226,226,226,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.002275,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,5,12,7.9e-05
0.004418,2,6,2409,8182,976,976,976,976,0,1,0,1,0,0,0,0,0,0,0,4.6e-05,0,0,0,0,1e-06,8.5e-05,0.001198,0.001216,0.00957,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,15,10,0.004398
0.000131,0,2,75,226,226,226,226,226,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.00353,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,5,9,0.000126
0.000139,0,2,75,226,615,615,615,615,0,0,0,0,0,0,0,0,0,0,0,1.2e-05,0,0,0,0,0,0,0,0,0.005375,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,10,11,0.000124
0.000237,0,1,232,847,226,226,226,226,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.001575,WDG+GR+GC+T+BP with AStar,scens/den312d-even-15.scen:,5,0,0
0.006619,3,6,2387,9310,1296,1296,1296,1296,1,1,0,1,0,0,0,0,0,0,0,0.000134,0,0,0,0,2e-06,0.000147,0.001401,0.001439,0.020587,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,20,12,0.006565
0.002857,2,4,693,2544,293,293,293,293,1,0,0,1,0,0,0,0,0,0,0,7e-06,0,0,0,0,2e-06,8.4e-05,0.000422,0.00043,0.002935,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,5,8,0.002852
0.000174,0,2,75,226,615,615,615,615,0,0,0,0,0,0,0,0,0,0,0,1.3e-05,0,0,0,0,0,0,0,0,0.006081,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,10,10,0.000157
0.006685,5,10,2530,8902,976,976,973,975,1,2,0,2,0,0,0,0,0,0,7e-06,5.8e-05,5.1e-05,0.000551,0,0.000915,5e-06,0.000176,0.001681,0.001711,0.010328,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,15,13,0.00427
0.003601,2,3,713,2630,293,293,291,293,1,0,0,1,0,0,0,2,0,0.001531,2e-06,7e-06,0,0.000192,0,0.000604,2e-06,0.000113,0.000738,0.000746,0.002581,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,5,8,0
0.001328,0,1,626,2647,615,615,615,615,0,0,0,0,0,0,0,0,0,0,0,1.3e-05,0,0,0,0,0,0,0,0,0.005498,WDG+GR+DC+T+BP with AStar,scens/den312d-even-15.scen:,10,0,0
0.001899,2,3,713,2630,293,293,291,293,1,0,0,1,0,0,0,2,0,0.000876,2e-06,7e-06,0,6.5e-05,0,0.000169,1e-06,7.4e-05,0.000433,0.00044,0.001551,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,5,5,0
0.00302,2,3,713,2630,293,293,291,293,1,0,0,1,0,0,0,2,0,0.001415,3e-06,7e-06,0,0.000105,0,0.00029,2e-06,0.000109,0.000674,0.000682,0.002523,WDG+GR+GC+T+BP with AStar,scens/den312d-even-22.scen:,5,0,0
0.009172,5,10,2530,8902,976,976,973,975,1,2,0,2,0,0,0,0,0,2e-06,1.1e-05,8e-05,7.2e-05,0.000875,0,0.001658,8e-06,0.000269,0.002812,0.002863,0.011829,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,15,12,0.005083
0.01133,5,10,2588,9402,594,594,594,594,2,2,1,1,0,0,0,0,0,0,0,5.1e-05,0,0,0,0,1.2e-05,0.000273,0.002145,0.002189,0.009876,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,10,12,0.01132
0.005357,1,4,1094,3346,336,336,336,336,0,0,0,1,0,0,0,0,0,0,0,1.2e-05,0,0,0,0,1e-06,9.6e-05,0.001081,0.001089,0.005009,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,5,11,0.005352
0.012401,6,10,3242,12021,1296,1296,1293,1295,3,2,0,2,0,0,0,0,0,4.9e-05,1.7e-05,0.000155,0.000195,0.000905,0,0.002284,8e-06,0.000246,0.003571,0.003669,0.018692,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,20,13,0.006833
0.004779,1,3,1094,3346,336,336,334,336,0,0,0,1,0,0,0,2,0,0.002394,2e-06,8e-06,0,0.000219,0,0.000461,1e-06,9.1e-05,0.00106,0.001067,0.002604,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,5,8,0
0.006712,2,5,2435,8290,976,976,973,975,0,1,0,1,0,0,0,0,0,1e-06,1.1e-05,4.9e-05,3.6e-05,0.001019,0,0.001504,2e-06,0.000167,0.002015,0.002044,0.007755,CG+GR+GC+T+BP with AStar,scens/den312d-even-15.scen:,15,0,0
0.008981,5,8,2026,7224,594,594,591,594,2,0,2,1,0,0,0,3,0,0.002719,7e-06,2.7e-05,0.001394,6.6e-05,0,0.000362,1.2e-05,0.000246,0.001629,0.001659,0.004705,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,10,9,0.003297
0.005143,1,3,1094,3346,336,336,334,336,0,0,0,1,0,0,0,2,0,0.002614,1e-06,7e-06,0,0.000238,0,0.000517,1e-06,9.8e-05,0.001089,0.001097,0.002819,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,5,9,0
0.009115,6,10,3242,12021,1296,1296,1293,1295,3,2,0,2,0,0,0,0,0,3.9e-05,1e-05,0.00013,0.000102,0.000551,0,0.00166,9e-06,0.000148,0.002126,0.002205,0.012762,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-15.scen:,20,8,0.005512
0.005368,1,3,1094,3346,336,336,334,336,0,0,0,1,0,0,0,2,0,0.002813,1e-06,7e-06,0,0.000245,0,0.000502,1e-06,0.000102,0.001145,0.001153,0.002788,WDG+GR+GC+T+BP with AStar,scens/den312d-even-4.scen:,5,0,0
0.014259,5,8,2026,7224,594,594,591,594,2,0,2,1,0,0,0,3,0,0.004589,8e-06,4.5e-05,0.001819,0.000145,0,0.000688,2.1e-05,0.000344,0.002425,0.002467,0.005075,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,10,8,0.005504
0.000379,0,2,322,1252,310,310,310,310,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.004249,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,5,11,0.000375
0.000156,0,2,155,492,310,310,310,310,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.00227,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,5,8,0.000152
0.006847,3,5,2387,9310,1296,1296,1293,1295,1,1,0,1,0,0,0,0,0,6.3e-05,2.1e-05,8.4e-05,0,0.001035,0,0.001034,5e-06,0.000172,0.001533,0.001575,0.010852,CG+GR+DC+T+BP with AStar,scens/den312d-even-15.scen:,20,0,0
0.000245,0,2,155,492,310,310,310,310,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.003694,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-24.scen:,5,11,0.000239
0.007713,5,9,2607,9481,594,594,591,594,2,2,1,1,0,0,0,7,1,0.003731,6e-06,3.5e-05,0.000161,6.8e-05,0,0.000924,1e-05,0.000267,0.001806,0.001849,0.003154,WDG+GR+DC+T+BP with AStar,scens/den312d-even-22.scen:,10,0,0
0.00037,0,1,322,1252,310,310,310,310,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.00173,WDG+GR+GC+T+BP with AStar,scens/den312d-even-24.scen:,5,0,0
0.026812,10,20,10053,28623,915,915,915,915,6,3,2,3,1,0,0,0,0,0,0,0.00022,0,0,0,0,4.6e-05,0.00108,0.013948,0.014165,0.015616,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,15,18,0.026781
0.000272,0,2,244,913,271,271,271,271,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.002678,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-8.scen:,5,11,0.000267
0.000231,0,2,206,734,271,271,271,271,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.002448,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-8.scen:,5,9,0.000227
0.000209,0,2,206,734,271,271,271,271,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.002148,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-8.scen:,5,8,0.000206
0.010783,2,6,2467,7259,556,556,556,556,0,0,0,2,0,0,0,0,0,0,0,3.4e-05,0,0,0,0,4e-06,0.000222,0.002628,0.00265,0.006187,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,10,9,0.010768
0.000313,0,1,276,1058,271,271,271,271,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.001653,WDG+GR+GC+T+BP with AStar,scens/den312d-even-8.scen:,5,0,0
0.000144,0,2,137,481,360,360,360,360,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.002192,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-18.scen:,5,9,0.00014
0.000387,0,1,365,1522,360,360,360,360,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001522,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-18.scen:,5,6,0
0.000386,0,1,365,1522,360,360,360,360,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001633,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-18.scen:,5,7,0
0.000608,0,1,365,1522,360,360,360,360,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.001956,WDG+GR+GC+T+BP with AStar,scens/den312d-even-18.scen:,5,0,0
0.010627,3,8,2064,5838,556,556,552,556,0,0,0,2,1,0,0,3,0,0.004971,1.8e-05,3.1e-05,0,0.0006,0,0.000842,4e-06,0.000293,0.003032,0.003059,0.007378,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,10,11,0.001352
0.021816,9,18,8811,25341,915,915,915,915,7,2,2,3,1,0,0,0,0,0,0,0.000163,0,0,0,0,3.1e-05,0.000802,0.010475,0.010635,0.014191,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,15,14,0.021794
0.028515,9,18,9766,27819,1361,1361,1361,1361,3,2,1,4,1,0,0,0,0,0,0,0.000279,0,0,0,0,2.8e-05,0.000791,0.011906,0.012269,0.019932,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,20,14,0.028455
0.000651,0,2,361,1403,342,342,342,342,0,0,0,0,0,0,0,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0.005446,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-17.scen:,5,13,0.000646
0.000244,0,2,229,837,342,342,342,342,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.002499,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-17.scen:,5,9,0.00024
0.00023,0,2,229,837,342,342,342,342,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.002539,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-17.scen:,5,8,0.000227
0.000403,0,1,361,1403,342,342,342,342,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.001604,WDG+GR+GC+T+BP with AStar,scens/den312d-even-17.scen:,5,0,0
0.009998,3,8,1918,5178,556,556,552,556,0,0,0,2,1,0,0,3,0,0.00493,4e-06,2.9e-05,0,0.000562,0,0.000784,4e-06,0.000292,0.00287,0.002895,0.006299,WDG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-4.scen:,10,13,0.001025
0.00054,0,2,294,1104,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.00474,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,5,13,0.000535
0.000367,0,1,338,1304,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.001557,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,5,6,0
0.019005,9,18,8811,25341,915,915,915,915,7,2,2,3,1,0,0,0,0,0,0,0.000157,0,0,0,0,3.2e-05,0.000776,0.010076,0.010242,0.009929,CG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,15,10,0.018975
0.000395,0,1,338,1304,333,333,333,333,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.001662,WDG+GR+GC+T+BP with AStarand Decomp,scens/den312d-even-10.scen:,5,9,0
0.018867,9,18,9839,28210,1361,1361,1361,1361,4,1,1,5,1,0,0,0,0,4e-06,2e-06,0.000198,0,0,0,0.000156,2.1e-05,0.000577,0.007608,0.0079,0.011754,CG+GR+DC+T+BP with AStarand Decomp,scens/den312d-even-22.scen:,20,11,0.018485
